指数代码,成分股票代码,交易日期,权重
399311.SZ,601336.SH,20250829,0.1496
399311.SZ,601825.SH,20250829,0.1496
399311.SZ,601669.SH,20250829,0.1494
399311.SZ,002916.SZ,20250829,0.1474
399311.SZ,688521.SH,20250829,0.1453
399311.SZ,601916.SH,20250829,0.1448
399311.SZ,002311.SZ,20250829,0.1443
399311.SZ,002179.SZ,20250829,0.1439
399311.SZ,002837.SZ,20250829,0.1407
399311.SZ,601689.SH,20250829,0.1391
399311.SZ,688169.SH,20250829,0.1373
399311.SZ,000002.SZ,20250829,0.1372
399311.SZ,002466.SZ,20250829,0.1359
399311.SZ,002195.SZ,20250829,0.1347
399311.SZ,002460.SZ,20250829,0.1344
399311.SZ,000166.SZ,20250829,0.1342
399311.SZ,002304.SZ,20250829,0.134
399311.SZ,600522.SH,20250829,0.1337
399311.SZ,603893.SH,20250829,0.1323
399311.SZ,002600.SZ,20250829,0.1321
399311.SZ,600489.SH,20250829,0.1308
399311.SZ,601377.SH,20250829,0.1299
399311.SZ,000538.SZ,20250829,0.1294
399311.SZ,601838.SH,20250829,0.1283
399311.SZ,600426.SH,20250829,0.1269
399311.SZ,002422.SZ,20250829,0.1268
399311.SZ,600839.SH,20250829,0.1263
399311.SZ,688036.SH,20250829,0.1254
399311.SZ,601100.SH,20250829,0.1245
399311.SZ,002517.SZ,20250829,0.1234
399311.SZ,002736.SZ,20250829,0.1222
399311.SZ,300395.SZ,20250829,0.1218
399311.SZ,000807.SZ,20250829,0.1215
399311.SZ,601998.SH,20250829,0.1211
399311.SZ,600015.SH,20250829,0.1204
399311.SZ,601881.SH,20250829,0.1203
399311.SZ,000831.SZ,20250829,0.1197
399311.SZ,601162.SH,20250829,0.1189
399311.SZ,601995.SH,20250829,0.1188
399311.SZ,600795.SH,20250829,0.1181
399311.SZ,002074.SZ,20250829,0.118
399311.SZ,300450.SZ,20250829,0.1177
399311.SZ,600989.SH,20250829,0.1173
399311.SZ,002938.SZ,20250829,0.1172
399311.SZ,002001.SZ,20250829,0.1164
399311.SZ,000408.SZ,20250829,0.116
399311.SZ,002456.SZ,20250829,0.1159
399311.SZ,002558.SZ,20250829,0.1159
399311.SZ,601186.SH,20250829,0.1154
399311.SZ,600460.SH,20250829,0.1153
399311.SZ,600988.SH,20250829,0.1152
399311.SZ,689009.SH,20250829,0.1142
399311.SZ,600745.SH,20250829,0.1131
399311.SZ,000768.SZ,20250829,0.1129
399311.SZ,600487.SH,20250829,0.1127
399311.SZ,601555.SH,20250829,0.1122
399311.SZ,601788.SH,20250829,0.1121
399311.SZ,002156.SZ,20250829,0.1118
399311.SZ,600066.SH,20250829,0.1113
399311.SZ,002236.SZ,20250829,0.1111
399311.SZ,601058.SH,20250829,0.1108
399311.SZ,600196.SH,20250829,0.1106
399311.SZ,002851.SZ,20250829,0.11
399311.SZ,600392.SH,20250829,0.1097
399311.SZ,002340.SZ,20250829,0.1082
399311.SZ,000157.SZ,20250829,0.108
399311.SZ,300418.SZ,20250829,0.1079
399311.SZ,000066.SZ,20250829,0.1078
399311.SZ,301236.SZ,20250829,0.1061
399311.SZ,601077.SH,20250829,0.1055
399311.SZ,601901.SH,20250829,0.1054
399311.SZ,600176.SH,20250829,0.1051
399311.SZ,002648.SZ,20250829,0.1046
399311.SZ,600886.SH,20250829,0.104
399311.SZ,688126.SH,20250829,0.104
399311.SZ,600009.SH,20250829,0.1036
399311.SZ,601360.SH,20250829,0.1034
399311.SZ,002920.SZ,20250829,0.1029
399311.SZ,688099.SH,20250829,0.1026
399311.SZ,600346.SH,20250829,0.1019
399311.SZ,002252.SZ,20250829,0.1014
399311.SZ,000963.SZ,20250829,0.1013
399311.SZ,688213.SH,20250829,0.101
399311.SZ,300347.SZ,20250829,0.1009
399311.SZ,002273.SZ,20250829,0.1008
399311.SZ,600011.SH,20250829,0.1008
399311.SZ,000975.SZ,20250829,0.1006
399311.SZ,300207.SZ,20250829,0.1005
399311.SZ,000617.SZ,20250829,0.0999
399311.SZ,688235.SH,20250829,0.0998
399311.SZ,002281.SZ,20250829,0.0997
399311.SZ,600580.SH,20250829,0.0993
399311.SZ,600673.SH,20250829,0.0991
399311.SZ,600115.SH,20250829,0.099
399311.SZ,688777.SH,20250829,0.0979
399311.SZ,002402.SZ,20250829,0.0978
399311.SZ,002797.SZ,20250829,0.0961
399311.SZ,600143.SH,20250829,0.096
399311.SZ,601168.SH,20250829,0.0958
399311.SZ,600096.SH,20250829,0.0954
399311.SZ,002966.SZ,20250829,0.0954
399311.SZ,002436.SZ,20250829,0.095
399311.SZ,001979.SZ,20250829,0.0944
399311.SZ,300661.SZ,20250829,0.0941
399311.SZ,000630.SZ,20250829,0.094
399311.SZ,000661.SZ,20250829,0.0935
399311.SZ,300454.SZ,20250829,0.0931
399311.SZ,601868.SH,20250829,0.0927
399311.SZ,600879.SH,20250829,0.0924
399311.SZ,601878.SH,20250829,0.0923
399311.SZ,601066.SH,20250829,0.0923
399311.SZ,603369.SH,20250829,0.0923
399311.SZ,600588.SH,20250829,0.0919
399311.SZ,002185.SZ,20250829,0.0915
399311.SZ,002131.SZ,20250829,0.0913
399311.SZ,300866.SZ,20250829,0.0912
399311.SZ,600895.SH,20250829,0.0904
399311.SZ,002008.SZ,20250829,0.0901
399311.SZ,688608.SH,20250829,0.0898
399311.SZ,000933.SZ,20250829,0.0897
399311.SZ,600536.SH,20250829,0.0896
399311.SZ,601633.SH,20250829,0.0883
399311.SZ,601111.SH,20250829,0.0881
399311.SZ,002202.SZ,20250829,0.088
399311.SZ,600372.SH,20250829,0.0869
399311.SZ,300779.SZ,20250829,0.0867
399311.SZ,600885.SH,20250829,0.0866
399311.SZ,002555.SZ,20250829,0.0864
399311.SZ,601877.SH,20250829,0.0863
399311.SZ,300442.SZ,20250829,0.0862
399311.SZ,688072.SH,20250829,0.0861
399311.SZ,300759.SZ,20250829,0.086
399311.SZ,002601.SZ,20250829,0.0857
399311.SZ,000426.SZ,20250829,0.0857
399311.SZ,002353.SZ,20250829,0.0854
399311.SZ,302132.SZ,20250829,0.0853
