指数代码,成分股票代码,交易日期,权重
399395.SZ,601899.SH,20250829,14.2959
399395.SZ,600111.SH,20250829,8.2718
399395.SZ,603993.SH,20250829,5.4609
399395.SZ,603799.SH,20250829,4.0677
399395.SZ,601600.SH,20250829,3.9222
399395.SZ,600547.SH,20250829,3.4498
399395.SZ,002466.SZ,20250829,2.831
399395.SZ,002460.SZ,20250829,2.7988
399395.SZ,600489.SH,20250829,2.7252
399395.SZ,000807.SZ,20250829,2.5303
399395.SZ,000831.SZ,20250829,2.4925
399395.SZ,600988.SH,20250829,2.4002
399395.SZ,600392.SH,20250829,2.2856
399395.SZ,000975.SZ,20250829,2.0951
399395.SZ,600673.SH,20250829,2.0643
399395.SZ,601168.SH,20250829,1.9951
399395.SZ,000630.SZ,20250829,1.9586
399395.SZ,000933.SZ,20250829,1.8674
399395.SZ,000426.SZ,20250829,1.7855
399395.SZ,002532.SZ,20250829,1.769
399395.SZ,600549.SH,20250829,1.6856
399395.SZ,002738.SZ,20250829,1.6342
399395.SZ,600219.SH,20250829,1.5873
399395.SZ,600362.SH,20250829,1.5772
399395.SZ,300748.SZ,20250829,1.5446
399395.SZ,002155.SZ,20250829,1.3631
399395.SZ,000960.SZ,20250829,1.3056
399395.SZ,000878.SZ,20250829,1.2811
399395.SZ,002128.SZ,20250829,1.2777
399395.SZ,600497.SH,20250829,1.1782
399395.SZ,002428.SZ,20250829,1.0169
399395.SZ,000970.SZ,20250829,0.9448
399395.SZ,000657.SZ,20250829,0.9255
399395.SZ,601677.SH,20250829,0.9063
399395.SZ,002497.SZ,20250829,0.899
399395.SZ,601958.SH,20250829,0.8696
399395.SZ,002176.SZ,20250829,0.8447
399395.SZ,600595.SH,20250829,0.8416
399395.SZ,600206.SH,20250829,0.8376
399395.SZ,000060.SZ,20250829,0.8197
399395.SZ,002203.SZ,20250829,0.8136
399395.SZ,000629.SZ,20250829,0.754
399395.SZ,300811.SZ,20250829,0.6947
399395.SZ,000737.SZ,20250829,0.6614
399395.SZ,601212.SH,20250829,0.6155
399395.SZ,600456.SH,20250829,0.5341
399395.SZ,301219.SZ,20250829,0.4937
399395.SZ,600361.SH,20250829,0.4393
399395.SZ,601702.SH,20250829,0.323
399395.SZ,000688.SZ,20250829,0.2633
