指数代码,成分股票代码,交易日期,权重
399610.SZ,300502.SZ,20250829,9.0185
399610.SZ,300308.SZ,20250829,8.827
399610.SZ,002475.SZ,20250829,5.6186
399610.SZ,300476.SZ,20250829,4.7023
399610.SZ,000063.SZ,20250829,4.165
399610.SZ,002371.SZ,20250829,4.086
399610.SZ,000725.SZ,20250829,4.0339
399610.SZ,002415.SZ,20250829,3.3833
399610.SZ,002230.SZ,20250829,2.9769
399610.SZ,002463.SZ,20250829,2.6652
399610.SZ,002241.SZ,20250829,2.5829
399610.SZ,300394.SZ,20250829,2.4708
399610.SZ,300033.SZ,20250829,2.4286
399610.SZ,000100.SZ,20250829,2.4267
399610.SZ,002027.SZ,20250829,2.4161
399610.SZ,002384.SZ,20250829,2.4087
399610.SZ,000977.SZ,20250829,1.995
399610.SZ,300433.SZ,20250829,1.7407
399610.SZ,000988.SZ,20250829,1.6635
399610.SZ,300408.SZ,20250829,1.5997
399610.SZ,300803.SZ,20250829,1.5714
399610.SZ,002049.SZ,20250829,1.5315
399610.SZ,000938.SZ,20250829,1.454
399610.SZ,300339.SZ,20250829,1.4402
399610.SZ,002916.SZ,20250829,1.4108
399610.SZ,002179.SZ,20250829,1.3776
399610.SZ,002600.SZ,20250829,1.2645
399610.SZ,002938.SZ,20250829,1.1218
399610.SZ,002156.SZ,20250829,1.0698
399610.SZ,002236.SZ,20250829,1.0638
399610.SZ,300418.SZ,20250829,1.0329
399610.SZ,000066.SZ,20250829,1.0321
399610.SZ,301236.SZ,20250829,1.0156
399610.SZ,300207.SZ,20250829,0.9621
399610.SZ,300661.SZ,20250829,0.9008
399610.SZ,300454.SZ,20250829,0.8916
399610.SZ,002185.SZ,20250829,0.8757
399610.SZ,300866.SZ,20250829,0.8731
399610.SZ,002555.SZ,20250829,0.827
399610.SZ,300442.SZ,20250829,0.8247
399610.SZ,300782.SZ,20250829,0.8138
399610.SZ,300251.SZ,20250829,0.7978
399610.SZ,300474.SZ,20250829,0.7746
399610.SZ,002180.SZ,20250829,0.7
399610.SZ,300223.SZ,20250829,0.6941
399610.SZ,301269.SZ,20250829,0.6356
399610.SZ,002414.SZ,20250829,0.5834
399610.SZ,300628.SZ,20250829,0.5153
399610.SZ,300413.SZ,20250829,0.4648
399610.SZ,301308.SZ,20250829,0.2702
