指数代码,成分股票代码,交易日期,权重
399615.SZ,300750.SZ,20250829,15.2529
399615.SZ,300124.SZ,20250829,4.8291
399615.SZ,300274.SZ,20250829,4.7404
399615.SZ,002352.SZ,20250829,3.1687
399615.SZ,000425.SZ,20250829,2.5701
399615.SZ,000338.SZ,20250829,2.5021
399615.SZ,002625.SZ,20250829,2.4428
399615.SZ,300014.SZ,20250829,2.3422
399615.SZ,002028.SZ,20250829,1.6203
399615.SZ,002837.SZ,20250829,1.5194
399615.SZ,002074.SZ,20250829,1.2743
399615.SZ,300450.SZ,20250829,1.2705
399615.SZ,000768.SZ,20250829,1.2185
399615.SZ,002851.SZ,20250829,1.1872
399615.SZ,002340.SZ,20250829,1.1677
399615.SZ,000157.SZ,20250829,1.1659
399615.SZ,002202.SZ,20250829,0.9506
399615.SZ,300779.SZ,20250829,0.936
399615.SZ,302132.SZ,20250829,0.9213
399615.SZ,300757.SZ,20250829,0.8517
399615.SZ,300724.SZ,20250829,0.8409
399615.SZ,002709.SZ,20250829,0.8355
399615.SZ,002850.SZ,20250829,0.8017
399615.SZ,002129.SZ,20250829,0.7992
399615.SZ,002595.SZ,20250829,0.7901
399615.SZ,300024.SZ,20250829,0.7759
399615.SZ,002459.SZ,20250829,0.7401
399615.SZ,300037.SZ,20250829,0.7344
399615.SZ,300054.SZ,20250829,0.6975
399615.SZ,002444.SZ,20250829,0.694
399615.SZ,002335.SZ,20250829,0.6672
399615.SZ,001965.SZ,20250829,0.6408
399615.SZ,300073.SZ,20250829,0.6307
399615.SZ,300012.SZ,20250829,0.6171
399615.SZ,002812.SZ,20250829,0.6122
399615.SZ,300316.SZ,20250829,0.6023
399615.SZ,000519.SZ,20250829,0.5892
399615.SZ,001696.SZ,20250829,0.5866
399615.SZ,300001.SZ,20250829,0.57
399615.SZ,002245.SZ,20250829,0.5662
399615.SZ,000009.SZ,20250829,0.5494
399615.SZ,000528.SZ,20250829,0.5469
399615.SZ,002389.SZ,20250829,0.5378
399615.SZ,002611.SZ,20250829,0.5337
399615.SZ,300919.SZ,20250829,0.5124
399615.SZ,002056.SZ,20250829,0.5116
399615.SZ,300568.SZ,20250829,0.5004
399615.SZ,300083.SZ,20250829,0.4938
399615.SZ,000400.SZ,20250829,0.4887
399615.SZ,000039.SZ,20250829,0.4872
399615.SZ,300763.SZ,20250829,0.4865
399615.SZ,300762.SZ,20250829,0.4846
399615.SZ,301358.SZ,20250829,0.4708
399615.SZ,000738.SZ,20250829,0.4683
399615.SZ,002487.SZ,20250829,0.4457
399615.SZ,300953.SZ,20250829,0.4452
399615.SZ,300751.SZ,20250829,0.4434
399615.SZ,002249.SZ,20250829,0.4421
399615.SZ,300068.SZ,20250829,0.4252
399615.SZ,300045.SZ,20250829,0.4138
399615.SZ,002747.SZ,20250829,0.4028
399615.SZ,002617.SZ,20250829,0.3973
399615.SZ,300035.SZ,20250829,0.3968
399615.SZ,000099.SZ,20250829,0.3965
399615.SZ,002276.SZ,20250829,0.3959
399615.SZ,300390.SZ,20250829,0.3785
399615.SZ,002506.SZ,20250829,0.3707
399615.SZ,300607.SZ,20250829,0.3652
399615.SZ,000547.SZ,20250829,0.3635
399615.SZ,000032.SZ,20250829,0.3628
399615.SZ,300718.SZ,20250829,0.3598
399615.SZ,300101.SZ,20250829,0.3587
399615.SZ,002468.SZ,20250829,0.3516
399615.SZ,000951.SZ,20250829,0.3474
399615.SZ,300776.SZ,20250829,0.339
399615.SZ,002120.SZ,20250829,0.3387
399615.SZ,300775.SZ,20250829,0.3376
399615.SZ,002270.SZ,20250829,0.3284
399615.SZ,300438.SZ,20250829,0.3262
399615.SZ,002896.SZ,20250829,0.324
