指数代码,成分股票代码,交易日期,权重
399674.SZ,300760.SZ,20250829,8.0738
399674.SZ,300015.SZ,20250829,3.5319
399674.SZ,000538.SZ,20250829,2.6084
399674.SZ,002422.SZ,20250829,2.5547
399674.SZ,002252.SZ,20250829,2.0435
399674.SZ,000963.SZ,20250829,2.0422
399674.SZ,300347.SZ,20250829,2.033
399674.SZ,300255.SZ,20250829,2.015
399674.SZ,000661.SZ,20250829,1.8847
399674.SZ,300759.SZ,20250829,1.733
399674.SZ,300896.SZ,20250829,1.6165
399674.SZ,300122.SZ,20250829,1.546
399674.SZ,002294.SZ,20250829,1.469
399674.SZ,300003.SZ,20250829,1.4113
399674.SZ,000423.SZ,20250829,1.3932
399674.SZ,002223.SZ,20250829,1.3454
399674.SZ,002821.SZ,20250829,1.3336
399674.SZ,300832.SZ,20250829,1.2617
399674.SZ,300142.SZ,20250829,1.2397
399674.SZ,300199.SZ,20250829,1.1844
399674.SZ,000999.SZ,20250829,1.1672
399674.SZ,000766.SZ,20250829,1.1567
399674.SZ,000623.SZ,20250829,1.1123
399674.SZ,300558.SZ,20250829,1.0945
399674.SZ,002007.SZ,20250829,1.0512
399674.SZ,002044.SZ,20250829,1.0148
399674.SZ,300677.SZ,20250829,0.9401
399674.SZ,300049.SZ,20250829,0.8874
399674.SZ,000513.SZ,20250829,0.8794
399674.SZ,002653.SZ,20250829,0.8755
399674.SZ,002317.SZ,20250829,0.8742
399674.SZ,300204.SZ,20250829,0.831
399674.SZ,002262.SZ,20250829,0.809
399674.SZ,002432.SZ,20250829,0.8079
399674.SZ,300676.SZ,20250829,0.7997
399674.SZ,002773.SZ,20250829,0.7813
399674.SZ,002603.SZ,20250829,0.7709
399674.SZ,300009.SZ,20250829,0.7614
399674.SZ,300436.SZ,20250829,0.7291
399674.SZ,300573.SZ,20250829,0.7269
399674.SZ,300601.SZ,20250829,0.7024
399674.SZ,300181.SZ,20250829,0.6838
399674.SZ,002019.SZ,20250829,0.6678
399674.SZ,002020.SZ,20250829,0.6456
399674.SZ,000403.SZ,20250829,0.6441
399674.SZ,300723.SZ,20250829,0.6384
399674.SZ,002675.SZ,20250829,0.6228
399674.SZ,301263.SZ,20250829,0.6118
399674.SZ,300529.SZ,20250829,0.6016
399674.SZ,000739.SZ,20250829,0.5661
399674.SZ,300595.SZ,20250829,0.56
399674.SZ,300357.SZ,20250829,0.5207
399674.SZ,002332.SZ,20250829,0.5157
399674.SZ,300244.SZ,20250829,0.5133
399674.SZ,300026.SZ,20250829,0.5007
399674.SZ,002550.SZ,20250829,0.497
399674.SZ,300363.SZ,20250829,0.4956
399674.SZ,301293.SZ,20250829,0.4918
399674.SZ,300294.SZ,20250829,0.4912
399674.SZ,301301.SZ,20250829,0.4608
399674.SZ,300633.SZ,20250829,0.458
399674.SZ,300725.SZ,20250829,0.4257
399674.SZ,002437.SZ,20250829,0.422
399674.SZ,300685.SZ,20250829,0.4177
399674.SZ,300841.SZ,20250829,0.3866
399674.SZ,000650.SZ,20250829,0.3846
399674.SZ,300298.SZ,20250829,0.3845
399674.SZ,000915.SZ,20250829,0.3824
399674.SZ,300158.SZ,20250829,0.3823
399674.SZ,002755.SZ,20250829,0.3822
399674.SZ,300482.SZ,20250829,0.38
399674.SZ,300401.SZ,20250829,0.3544
399674.SZ,301080.SZ,20250829,0.3456
399674.SZ,300233.SZ,20250829,0.3428
399674.SZ,000534.SZ,20250829,0.3393
399674.SZ,002940.SZ,20250829,0.3371
399674.SZ,300463.SZ,20250829,0.3183
399674.SZ,300705.SZ,20250829,0.3134
399674.SZ,002038.SZ,20250829,0.3023
399674.SZ,002727.SZ,20250829,0.2809
399674.SZ,002219.SZ,20250829,0.2706
399674.SZ,000028.SZ,20250829,0.2698
399674.SZ,300016.SZ,20250829,0.2636
399674.SZ,300497.SZ,20250829,0.2616
399674.SZ,300111.SZ,20250829,0.2613
399674.SZ,300267.SZ,20250829,0.2612
399674.SZ,002737.SZ,20250829,0.261
399674.SZ,300341.SZ,20250829,0.2594
399674.SZ,000950.SZ,20250829,0.2589
399674.SZ,300194.SZ,20250829,0.2588
399674.SZ,000756.SZ,20250829,0.2522
399674.SZ,002390.SZ,20250829,0.252
399674.SZ,002365.SZ,20250829,0.2518
