指数代码,成分股票代码,交易日期,权重
399701.SZ,000333.SZ,20250829,6.934
399701.SZ,300750.SZ,20250829,6.738
399701.SZ,000651.SZ,20250829,5.897
399701.SZ,000725.SZ,20250829,5.373
399701.SZ,000002.SZ,20250829,5.096
399701.SZ,000001.SZ,20250829,4.973
399701.SZ,000858.SZ,20250829,3.795
399701.SZ,000100.SZ,20250829,3.361
399701.SZ,002475.SZ,20250829,2.954
399701.SZ,000338.SZ,20250829,2.41
399701.SZ,002142.SZ,20250829,2.277
399701.SZ,002594.SZ,20250829,2.275
399701.SZ,000063.SZ,20250829,2.261
399701.SZ,002714.SZ,20250829,2.124
399701.SZ,000932.SZ,20250829,1.805
399701.SZ,002352.SZ,20250829,1.777
399701.SZ,002415.SZ,20250829,1.746
399701.SZ,001979.SZ,20250829,1.657
399701.SZ,000425.SZ,20250829,1.585
399701.SZ,000568.SZ,20250829,1.571
399701.SZ,002466.SZ,20250829,1.567
399701.SZ,300498.SZ,20250829,1.453
399701.SZ,300059.SZ,20250829,1.447
399701.SZ,000776.SZ,20250829,1.394
399701.SZ,002241.SZ,20250829,1.383
399701.SZ,300760.SZ,20250829,1.319
399701.SZ,000630.SZ,20250829,1.305
399701.SZ,002027.SZ,20250829,1.262
399701.SZ,002304.SZ,20250829,1.216
399701.SZ,002493.SZ,20250829,1.172
399701.SZ,000983.SZ,20250829,1.163
399701.SZ,000625.SZ,20250829,1.107
399701.SZ,000878.SZ,20250829,1.056
399701.SZ,000157.SZ,20250829,1.038
399701.SZ,002601.SZ,20250829,0.986
399701.SZ,000538.SZ,20250829,0.976
399701.SZ,000703.SZ,20250829,0.872
399701.SZ,002736.SZ,20250829,0.836
399701.SZ,000709.SZ,20250829,0.833
399701.SZ,000895.SZ,20250829,0.812
399701.SZ,300433.SZ,20250829,0.783
399701.SZ,000877.SZ,20250829,0.77
399701.SZ,000617.SZ,20250829,0.763
399701.SZ,000166.SZ,20250829,0.743
399701.SZ,003816.SZ,20250829,0.68
399701.SZ,000069.SZ,20250829,0.675
399701.SZ,300122.SZ,20250829,0.633
399701.SZ,000825.SZ,20250829,0.61
399701.SZ,000876.SZ,20250829,0.61
399701.SZ,002311.SZ,20250829,0.595
399701.SZ,000301.SZ,20250829,0.548
399701.SZ,000708.SZ,20250829,0.517
399701.SZ,000898.SZ,20250829,0.413
399701.SZ,000959.SZ,20250829,0.399
399701.SZ,001965.SZ,20250829,0.372
399701.SZ,000937.SZ,20250829,0.362
399701.SZ,300999.SZ,20250829,0.327
399701.SZ,000800.SZ,20250829,0.232
399701.SZ,001872.SZ,20250829,0.129
399701.SZ,001289.SZ,20250829,0.035
