指数代码,成分股票代码,交易日期,权重
399810.SZ,002027.SZ,20250829,8.93
399810.SZ,002558.SZ,20250829,4.549
399810.SZ,002517.SZ,20250829,4.228
399810.SZ,300418.SZ,20250829,3.923
399810.SZ,002555.SZ,20250829,3.241
399810.SZ,300251.SZ,20250829,3.081
399810.SZ,300002.SZ,20250829,2.879
399810.SZ,300058.SZ,20250829,2.644
399810.SZ,002624.SZ,20250829,2.405
399810.SZ,300364.SZ,20250829,2.33
399810.SZ,300459.SZ,20250829,2.138
399810.SZ,603444.SH,20250829,2.11
399810.SZ,300413.SZ,20250829,2.074
399810.SZ,600637.SH,20250829,1.9
399810.SZ,300182.SZ,20250829,1.727
399810.SZ,300315.SZ,20250829,1.697
399810.SZ,002174.SZ,20250829,1.654
399810.SZ,002739.SZ,20250829,1.579
399810.SZ,600986.SH,20250829,1.518
399810.SZ,002400.SZ,20250829,1.516
399810.SZ,300113.SZ,20250829,1.363
399810.SZ,002354.SZ,20250829,1.342
399810.SZ,603000.SH,20250829,1.283
399810.SZ,000676.SZ,20250829,1.248
399810.SZ,600633.SH,20250829,1.223
399810.SZ,300133.SZ,20250829,1.214
399810.SZ,601929.SH,20250829,1.182
399810.SZ,000917.SZ,20250829,1.175
399810.SZ,301171.SZ,20250829,1.143
399810.SZ,000681.SZ,20250829,1.126
399810.SZ,600977.SH,20250829,1.107
399810.SZ,601098.SH,20250829,1.005
399810.SZ,600959.SH,20250829,0.981
399810.SZ,300031.SZ,20250829,0.93
399810.SZ,002292.SZ,20250829,0.925
399810.SZ,600037.SH,20250829,0.922
399810.SZ,601928.SH,20250829,0.915
399810.SZ,000156.SZ,20250829,0.823
399810.SZ,300027.SZ,20250829,0.814
399810.SZ,600373.SH,20250829,0.761
399810.SZ,300533.SZ,20250829,0.758
399810.SZ,300061.SZ,20250829,0.721
399810.SZ,600556.SH,20250829,0.713
399810.SZ,300770.SZ,20250829,0.69
399810.SZ,600996.SH,20250829,0.669
399810.SZ,300494.SZ,20250829,0.63
399810.SZ,002605.SZ,20250829,0.629
399810.SZ,300063.SZ,20250829,0.611
399810.SZ,601019.SH,20250829,0.61
399810.SZ,603533.SH,20250829,0.607
399810.SZ,603888.SH,20250829,0.606
399810.SZ,601595.SH,20250829,0.599
399810.SZ,600757.SH,20250829,0.597
399810.SZ,601900.SH,20250829,0.541
399810.SZ,002291.SZ,20250829,0.515
399810.SZ,300043.SZ,20250829,0.486
399810.SZ,300148.SZ,20250829,0.456
399810.SZ,601801.SH,20250829,0.433
399810.SZ,600640.SH,20250829,0.433
399810.SZ,000719.SZ,20250829,0.425
399810.SZ,601949.SH,20250829,0.423
399810.SZ,300299.SZ,20250829,0.409
399810.SZ,601921.SH,20250829,0.406
399810.SZ,603466.SH,20250829,0.402
399810.SZ,300467.SZ,20250829,0.396
399810.SZ,600825.SH,20250829,0.391
399810.SZ,600088.SH,20250829,0.387
399810.SZ,300785.SZ,20250829,0.377
399810.SZ,300291.SZ,20250829,0.375
399810.SZ,300781.SZ,20250829,0.372
399810.SZ,605168.SH,20250829,0.371
399810.SZ,601858.SH,20250829,0.362
399810.SZ,002181.SZ,20250829,0.357
399810.SZ,300426.SZ,20250829,0.343
399810.SZ,002343.SZ,20250829,0.334
399810.SZ,002264.SZ,20250829,0.319
399810.SZ,002878.SZ,20250829,0.309
399810.SZ,002238.SZ,20250829,0.296
399810.SZ,603258.SH,20250829,0.291
399810.SZ,002095.SZ,20250829,0.29
399810.SZ,002919.SZ,20250829,0.27
399810.SZ,000892.SZ,20250829,0.27
399810.SZ,301299.SZ,20250829,0.25
399810.SZ,603598.SH,20250829,0.248
399810.SZ,000607.SZ,20250829,0.239
399810.SZ,301551.SZ,20250829,0.213
399810.SZ,300805.SZ,20250829,0.21
399810.SZ,601811.SH,20250829,0.206
399810.SZ,300654.SZ,20250829,0.205
399810.SZ,603999.SH,20250829,0.204
399810.SZ,300788.SZ,20250829,0.201
399810.SZ,605577.SH,20250829,0.198
399810.SZ,600229.SH,20250829,0.197
399810.SZ,301102.SZ,20250829,0.149
399810.SZ,301025.SZ,20250829,0.135
399810.SZ,603103.SH,20250829,0.133
399810.SZ,301262.SZ,20250829,0.127
