指数代码,成分股票代码,交易日期,权重
399241.SZ,000002.SZ,20250829,22.2946
399241.SZ,001979.SZ,20250829,15.3412
399241.SZ,002244.SZ,20250829,5.6477
399241.SZ,000069.SZ,20250829,3.9572
399241.SZ,000029.SZ,20250829,3.8231
399241.SZ,000006.SZ,20250829,3.1665
399241.SZ,000560.SZ,20250829,2.5483
399241.SZ,000558.SZ,20250829,2.536
399241.SZ,001914.SZ,20250829,2.5122
399241.SZ,000886.SZ,20250829,2.3596
399241.SZ,000402.SZ,20250829,2.1476
399241.SZ,000036.SZ,20250829,2.0729
399241.SZ,000926.SZ,20250829,1.9119
399241.SZ,002146.SZ,20250829,1.9095
399241.SZ,000718.SZ,20250829,1.7039
399241.SZ,000031.SZ,20250829,1.7034
399241.SZ,000620.SZ,20250829,1.6937
399241.SZ,000897.SZ,20250829,1.5048
399241.SZ,300917.SZ,20250829,1.4432
399241.SZ,002285.SZ,20250829,1.2812
399241.SZ,000042.SZ,20250829,1.2656
399241.SZ,000965.SZ,20250829,1.2434
399241.SZ,002314.SZ,20250829,1.2178
399241.SZ,000720.SZ,20250829,1.1828
399241.SZ,000631.SZ,20250829,1.1655
399241.SZ,000014.SZ,20250829,1.1551
399241.SZ,002208.SZ,20250829,1.1207
399241.SZ,000863.SZ,20250829,1.0748
399241.SZ,000573.SZ,20250829,1.0719
399241.SZ,000797.SZ,20250829,0.9738
399241.SZ,000838.SZ,20250829,0.9571
399241.SZ,002133.SZ,20250829,0.871
399241.SZ,000514.SZ,20250829,0.8617
399241.SZ,000011.SZ,20250829,0.8575
399241.SZ,000007.SZ,20250829,0.8157
399241.SZ,002016.SZ,20250829,0.7865
399241.SZ,000517.SZ,20250829,0.7167
399241.SZ,002968.SZ,20250829,0.5682
399241.SZ,002188.SZ,20250829,0.5355
