指数代码,成分股票代码,交易日期,权重
399620.SZ,002475.SZ,20250829,5.2977
399620.SZ,300476.SZ,20250829,4.0245
399620.SZ,002371.SZ,20250829,3.4971
399620.SZ,000725.SZ,20250829,3.4524
399620.SZ,002415.SZ,20250829,2.8957
399620.SZ,002230.SZ,20250829,2.5478
399620.SZ,002463.SZ,20250829,2.281
399620.SZ,002241.SZ,20250829,2.2106
399620.SZ,300033.SZ,20250829,2.0786
399620.SZ,000100.SZ,20250829,2.0769
399620.SZ,002384.SZ,20250829,2.0615
399620.SZ,000977.SZ,20250829,1.7074
399620.SZ,300433.SZ,20250829,1.4898
399620.SZ,000988.SZ,20250829,1.4237
399620.SZ,300408.SZ,20250829,1.3691
399620.SZ,300803.SZ,20250829,1.3449
399620.SZ,002049.SZ,20250829,1.3107
399620.SZ,000938.SZ,20250829,1.2444
399620.SZ,300339.SZ,20250829,1.2326
399620.SZ,002916.SZ,20250829,1.2074
399620.SZ,002179.SZ,20250829,1.179
399620.SZ,002195.SZ,20250829,1.1035
399620.SZ,002600.SZ,20250829,1.0822
399620.SZ,002517.SZ,20250829,1.0107
399620.SZ,002938.SZ,20250829,0.9601
399620.SZ,002456.SZ,20250829,0.9492
399620.SZ,002558.SZ,20250829,0.9492
399620.SZ,002156.SZ,20250829,0.9156
399620.SZ,002236.SZ,20250829,0.9105
399620.SZ,300418.SZ,20250829,0.884
399620.SZ,000066.SZ,20250829,0.8833
399620.SZ,301236.SZ,20250829,0.8692
399620.SZ,002273.SZ,20250829,0.8256
399620.SZ,300207.SZ,20250829,0.8235
399620.SZ,002402.SZ,20250829,0.8009
399620.SZ,002436.SZ,20250829,0.7782
399620.SZ,300661.SZ,20250829,0.7709
399620.SZ,300454.SZ,20250829,0.7631
399620.SZ,002185.SZ,20250829,0.7494
399620.SZ,300866.SZ,20250829,0.7473
399620.SZ,002008.SZ,20250829,0.7383
399620.SZ,002555.SZ,20250829,0.7078
399620.SZ,300442.SZ,20250829,0.7058
399620.SZ,300782.SZ,20250829,0.6965
399620.SZ,300458.SZ,20250829,0.6864
399620.SZ,300496.SZ,20250829,0.6815
399620.SZ,300474.SZ,20250829,0.6629
399620.SZ,002130.SZ,20250829,0.6598
399620.SZ,300002.SZ,20250829,0.6416
399620.SZ,000034.SZ,20250829,0.637
399620.SZ,300604.SZ,20250829,0.6178
399620.SZ,300017.SZ,20250829,0.6157
399620.SZ,300115.SZ,20250829,0.6098
399620.SZ,002180.SZ,20250829,0.5991
399620.SZ,300223.SZ,20250829,0.5941
399620.SZ,002065.SZ,20250829,0.5866
399620.SZ,000021.SZ,20250829,0.5706
399620.SZ,300383.SZ,20250829,0.5563
399620.SZ,300857.SZ,20250829,0.5525
399620.SZ,002138.SZ,20250829,0.5521
399620.SZ,301269.SZ,20250829,0.544
399620.SZ,000997.SZ,20250829,0.5283
399620.SZ,300346.SZ,20250829,0.5224
399620.SZ,002624.SZ,20250829,0.5175
399620.SZ,002405.SZ,20250829,0.5147
399620.SZ,002410.SZ,20250829,0.5141
399620.SZ,002414.SZ,20250829,0.4993
399620.SZ,000733.SZ,20250829,0.4971
399620.SZ,300373.SZ,20250829,0.4855
399620.SZ,300170.SZ,20250829,0.46
399620.SZ,002152.SZ,20250829,0.4543
399620.SZ,300253.SZ,20250829,0.4513
399620.SZ,002222.SZ,20250829,0.4389
399620.SZ,002484.SZ,20250829,0.4328
399620.SZ,300459.SZ,20250829,0.4302
399620.SZ,300738.SZ,20250829,0.4285
399620.SZ,300666.SZ,20250829,0.4137
399620.SZ,002409.SZ,20250829,0.4083
399620.SZ,300077.SZ,20250829,0.3964
399620.SZ,002139.SZ,20250829,0.3956
399620.SZ,300296.SZ,20250829,0.3955
399620.SZ,002841.SZ,20250829,0.3915
399620.SZ,300315.SZ,20250829,0.3813
399620.SZ,300623.SZ,20250829,0.3752
399620.SZ,300672.SZ,20250829,0.374
399620.SZ,300766.SZ,20250829,0.3709
399620.SZ,002025.SZ,20250829,0.3702
399620.SZ,300674.SZ,20250829,0.3696
399620.SZ,300229.SZ,20250829,0.3644
399620.SZ,300088.SZ,20250829,0.3595
399620.SZ,300682.SZ,20250829,0.3459
399620.SZ,300679.SZ,20250829,0.3387
399620.SZ,300657.SZ,20250829,0.3365
399620.SZ,300567.SZ,20250829,0.3328
399620.SZ,300475.SZ,20250829,0.3206
399620.SZ,000050.SZ,20250829,0.3197
399620.SZ,300113.SZ,20250829,0.3173
399620.SZ,300184.SZ,20250829,0.3075
399620.SZ,300870.SZ,20250829,0.3073
399620.SZ,300130.SZ,20250829,0.3062
399620.SZ,300456.SZ,20250829,0.3004
399620.SZ,001389.SZ,20250829,0.2966
399620.SZ,002368.SZ,20250829,0.2908
399620.SZ,000636.SZ,20250829,0.2905
399620.SZ,002373.SZ,20250829,0.2882
399620.SZ,002439.SZ,20250829,0.2871
399620.SZ,300735.SZ,20250829,0.2857
399620.SZ,301536.SZ,20250829,0.2774
399620.SZ,300624.SZ,20250829,0.2753
399620.SZ,300212.SZ,20250829,0.2735
399620.SZ,002268.SZ,20250829,0.2625
399620.SZ,300747.SZ,20250829,0.2438
399620.SZ,300602.SZ,20250829,0.2335
399620.SZ,301308.SZ,20250829,0.2313
399620.SZ,002063.SZ,20250829,0.2269
399620.SZ,300598.SZ,20250829,0.2256
399620.SZ,002815.SZ,20250829,0.2249
399620.SZ,300493.SZ,20250829,0.2239
399620.SZ,300075.SZ,20250829,0.2228
399620.SZ,002153.SZ,20250829,0.2186
399620.SZ,002315.SZ,20250829,0.2157
399620.SZ,300168.SZ,20250829,0.2147
399620.SZ,300188.SZ,20250829,0.2131
399620.SZ,300525.SZ,20250829,0.2117
399620.SZ,301095.SZ,20250829,0.2095
399620.SZ,002745.SZ,20250829,0.2091
399620.SZ,000555.SZ,20250829,0.2078
399620.SZ,300634.SZ,20250829,0.1816
399620.SZ,300323.SZ,20250829,0.1621
399620.SZ,000727.SZ,20250829,0.1607
399620.SZ,300613.SZ,20250829,0.1582
399620.SZ,002605.SZ,20250829,0.1493
399620.SZ,301589.SZ,20250829,0.1445
399620.SZ,001287.SZ,20250829,0.1392
399620.SZ,300726.SZ,20250829,0.1279
399620.SZ,002925.SZ,20250829,0.1195
399620.SZ,300768.SZ,20250829,0.0937
399620.SZ,301611.SZ,20250829,0.0896
399620.SZ,301606.SZ,20250829,0.0573
399620.SZ,001308.SZ,20250829,0.0564
