指数代码,成分股票代码,交易日期,权重
399398.SZ,603444.SH,20250829,3.9094
399398.SZ,300033.SZ,20250829,3.6791
399398.SZ,002555.SZ,20250829,3.032
399398.SZ,600563.SH,20250829,2.7446
399398.SZ,000568.SZ,20250829,2.6822
399398.SZ,600809.SH,20250829,2.5815
399398.SZ,300394.SZ,20250829,2.5707
399398.SZ,300896.SZ,20250829,2.5171
399398.SZ,002884.SZ,20250829,2.5142
399398.SZ,300628.SZ,20250829,2.4875
399398.SZ,000858.SZ,20250829,2.3567
399398.SZ,600873.SH,20250829,2.3536
399398.SZ,300760.SZ,20250829,2.3403
399398.SZ,300979.SZ,20250829,2.3214
399398.SZ,601225.SH,20250829,2.3044
399398.SZ,002372.SZ,20250829,2.2053
399398.SZ,600132.SH,20250829,2.1661
399398.SZ,002032.SZ,20250829,2.1404
399398.SZ,603195.SH,20250829,2.1257
399398.SZ,605499.SH,20250829,2.1021
399398.SZ,002847.SZ,20250829,1.9075
399398.SZ,002270.SZ,20250829,1.1326
399398.SZ,300009.SZ,20250829,1.1283
399398.SZ,600096.SH,20250829,1.1042
399398.SZ,002315.SZ,20250829,1.094
399398.SZ,000933.SZ,20250829,1.0513
399398.SZ,603816.SH,20250829,1.0509
399398.SZ,002027.SZ,20250829,1.0393
399398.SZ,600660.SH,20250829,1.0374
399398.SZ,002690.SZ,20250829,1.0186
399398.SZ,600546.SH,20250829,1.0128
399398.SZ,300622.SZ,20250829,0.998
399398.SZ,002043.SZ,20250829,0.9801
399398.SZ,605117.SH,20250829,0.9682
399398.SZ,300529.SZ,20250829,0.9526
399398.SZ,000915.SZ,20250829,0.9458
399398.SZ,300910.SZ,20250829,0.9421
399398.SZ,003006.SZ,20250829,0.9385
399398.SZ,000895.SZ,20250829,0.9286
399398.SZ,600598.SH,20250829,0.9265
399398.SZ,600519.SH,20250829,0.9057
399398.SZ,300832.SZ,20250829,0.9041
399398.SZ,603605.SH,20250829,0.9005
399398.SZ,603288.SH,20250829,0.8945
399398.SZ,600285.SH,20250829,0.8813
399398.SZ,002003.SZ,20250829,0.8768
399398.SZ,601088.SH,20250829,0.8623
399398.SZ,600750.SH,20250829,0.8511
399398.SZ,301004.SZ,20250829,0.8198
399398.SZ,000429.SZ,20250829,0.7659
399398.SZ,603920.SH,20250829,0.5466
399398.SZ,002056.SZ,20250829,0.5099
399398.SZ,301015.SZ,20250829,0.4956
399398.SZ,601100.SH,20250829,0.4616
399398.SZ,600211.SH,20250829,0.4539
399398.SZ,600309.SH,20250829,0.4499
399398.SZ,300573.SZ,20250829,0.4424
399398.SZ,688036.SH,20250829,0.4291
399398.SZ,300770.SZ,20250829,0.4187
399398.SZ,000708.SZ,20250829,0.418
399398.SZ,600295.SH,20250829,0.4155
399398.SZ,002001.SZ,20250829,0.4142
399398.SZ,600066.SH,20250829,0.414
399398.SZ,601168.SH,20250829,0.4128
399398.SZ,601126.SH,20250829,0.4065
399398.SZ,002925.SZ,20250829,0.4063
399398.SZ,002415.SZ,20250829,0.3987
399398.SZ,603565.SH,20250829,0.3905
399398.SZ,000513.SZ,20250829,0.388
399398.SZ,601882.SH,20250829,0.3858
399398.SZ,300015.SZ,20250829,0.3854
399398.SZ,603529.SH,20250829,0.3754
399398.SZ,002833.SZ,20250829,0.3705
399398.SZ,600845.SH,20250829,0.3656
399398.SZ,600887.SH,20250829,0.3602
399398.SZ,002572.SZ,20250829,0.3602
399398.SZ,603233.SH,20250829,0.3598
399398.SZ,002832.SZ,20250829,0.3589
399398.SZ,600236.SH,20250829,0.3557
399398.SZ,600985.SH,20250829,0.3554
399398.SZ,000333.SZ,20250829,0.3541
399398.SZ,600938.SH,20250829,0.3526
399398.SZ,603279.SH,20250829,0.3509
399398.SZ,603801.SH,20250829,0.3494
399398.SZ,603855.SH,20250829,0.3466
399398.SZ,000651.SZ,20250829,0.3457
399398.SZ,300856.SZ,20250829,0.3453
399398.SZ,600007.SH,20250829,0.3439
399398.SZ,600566.SH,20250829,0.3435
399398.SZ,603156.SH,20250829,0.3416
399398.SZ,600900.SH,20250829,0.3404
399398.SZ,002293.SZ,20250829,0.3366
399398.SZ,600398.SH,20250829,0.3352
399398.SZ,002605.SZ,20250829,0.3345
399398.SZ,002867.SZ,20250829,0.3337
399398.SZ,002991.SZ,20250829,0.3246
399398.SZ,603899.SH,20250829,0.3225
399398.SZ,000848.SZ,20250829,0.3198
399398.SZ,600256.SH,20250829,0.3154
399398.SZ,002327.SZ,20250829,0.3044
