指数代码,成分股票代码,交易日期,权重
399335.SZ,002415.SZ,20250829,9.5073
399335.SZ,002230.SZ,20250829,8.3651
399335.SZ,000625.SZ,20250829,4.4149
399335.SZ,002916.SZ,20250829,3.9644
399335.SZ,002179.SZ,20250829,3.871
399335.SZ,000166.SZ,20250829,3.6088
399335.SZ,000807.SZ,20250829,3.2679
399335.SZ,000831.SZ,20250829,3.219
399335.SZ,000768.SZ,20250829,3.0358
399335.SZ,000066.SZ,20250829,2.9002
399335.SZ,000617.SZ,20250829,2.6881
399335.SZ,002281.SZ,20250829,2.6804
399335.SZ,001979.SZ,20250829,2.539
399335.SZ,302132.SZ,20250829,2.2954
399335.SZ,003816.SZ,20250829,2.1692
399335.SZ,002080.SZ,20250829,2.0297
399335.SZ,000786.SZ,20250829,1.9382
399335.SZ,300024.SZ,20250829,1.9329
399335.SZ,000021.SZ,20250829,1.8733
399335.SZ,000423.SZ,20250829,1.8594
399335.SZ,301269.SZ,20250829,1.7861
399335.SZ,000878.SZ,20250829,1.6544
399335.SZ,002128.SZ,20250829,1.6502
399335.SZ,000733.SZ,20250829,1.6322
399335.SZ,001965.SZ,20250829,1.5963
399335.SZ,300073.SZ,20250829,1.5713
399335.SZ,000999.SZ,20250829,1.5579
399335.SZ,000519.SZ,20250829,1.468
399335.SZ,002939.SZ,20250829,1.3048
399335.SZ,000799.SZ,20250829,1.2844
399335.SZ,000400.SZ,20250829,1.2176
399335.SZ,002025.SZ,20250829,1.2156
399335.SZ,000830.SZ,20250829,1.1877
399335.SZ,000738.SZ,20250829,1.1666
399335.SZ,000050.SZ,20250829,1.0497
399335.SZ,002423.SZ,20250829,1.0286
399335.SZ,000591.SZ,20250829,1.0078
399335.SZ,000629.SZ,20250829,0.9738
399335.SZ,000708.SZ,20250829,0.8935
399335.SZ,000958.SZ,20250829,0.8699
399335.SZ,003031.SZ,20250829,0.793
399335.SZ,000877.SZ,20250829,0.7351
399335.SZ,000825.SZ,20250829,0.7262
399335.SZ,000069.SZ,20250829,0.6549
399335.SZ,000800.SZ,20250829,0.6456
399335.SZ,000883.SZ,20250829,0.6447
399335.SZ,000537.SZ,20250829,0.4846
399335.SZ,000898.SZ,20250829,0.4653
399335.SZ,001872.SZ,20250829,0.3879
399335.SZ,001289.SZ,20250829,0.1866
