指数代码,成分股票代码,交易日期,权重
399318.SZ,900948.SH,20250829,12.9491
399318.SZ,200596.SZ,20250829,9.9112
399318.SZ,900926.SH,20250829,5.7654
399318.SZ,200625.SZ,20250829,5.4437
399318.SZ,900905.SH,20250829,5.2613
399318.SZ,200771.SZ,20250829,4.207
399318.SZ,900932.SH,20250829,3.2399
399318.SZ,200429.SZ,20250829,2.7451
399318.SZ,900936.SH,20250829,2.351
399318.SZ,900947.SH,20250829,2.052
399318.SZ,900925.SH,20250829,2.0378
399318.SZ,900908.SH,20250829,1.9273
399318.SZ,200012.SZ,20250829,1.8799
399318.SZ,200725.SZ,20250829,1.8685
399318.SZ,200581.SZ,20250829,1.711
399318.SZ,200869.SZ,20250829,1.6851
399318.SZ,900901.SH,20250829,1.6705
399318.SZ,201872.SZ,20250829,1.5958
399318.SZ,900934.SH,20250829,1.5135
399318.SZ,900911.SH,20250829,1.4956
399318.SZ,200539.SZ,20250829,1.3529
399318.SZ,900910.SH,20250829,1.1866
399318.SZ,900942.SH,20250829,1.1089
399318.SZ,900912.SH,20250829,1.0092
399318.SZ,900903.SH,20250829,0.9911
399318.SZ,900909.SH,20250829,0.9673
399318.SZ,900906.SH,20250829,0.9516
399318.SZ,900917.SH,20250829,0.897
399318.SZ,900941.SH,20250829,0.8734
399318.SZ,900923.SH,20250829,0.8097
399318.SZ,200016.SZ,20250829,0.7837
399318.SZ,200028.SZ,20250829,0.7586
399318.SZ,200550.SZ,20250829,0.6631
399318.SZ,900924.SH,20250829,0.6598
399318.SZ,900938.SH,20250829,0.6431
399318.SZ,900914.SH,20250829,0.6293
399318.SZ,900902.SH,20250829,0.6201
399318.SZ,900920.SH,20250829,0.5964
399318.SZ,900929.SH,20250829,0.5924
399318.SZ,900928.SH,20250829,0.5619
399318.SZ,900937.SH,20250829,0.532
399318.SZ,200541.SZ,20250829,0.5171
399318.SZ,900946.SH,20250829,0.5141
399318.SZ,200029.SZ,20250829,0.5094
399318.SZ,200726.SZ,20250829,0.5008
399318.SZ,200761.SZ,20250829,0.4774
399318.SZ,900916.SH,20250829,0.4751
399318.SZ,200521.SZ,20250829,0.4357
399318.SZ,200055.SZ,20250829,0.4347
399318.SZ,200058.SZ,20250829,0.413
399318.SZ,900918.SH,20250829,0.4097
399318.SZ,200553.SZ,20250829,0.4049
399318.SZ,900939.SH,20250829,0.3664
399318.SZ,200468.SZ,20250829,0.3589
399318.SZ,200512.SZ,20250829,0.3093
399318.SZ,200992.SZ,20250829,0.3055
399318.SZ,200037.SZ,20250829,0.3035
399318.SZ,900943.SH,20250829,0.3001
399318.SZ,900927.SH,20250829,0.2984
399318.SZ,200530.SZ,20250829,0.274
399318.SZ,200026.SZ,20250829,0.2732
399318.SZ,200570.SZ,20250829,0.2706
399318.SZ,900915.SH,20250829,0.2704
399318.SZ,900913.SH,20250829,0.2669
399318.SZ,900945.SH,20250829,0.2654
399318.SZ,900921.SH,20250829,0.2552
399318.SZ,900940.SH,20250829,0.2516
399318.SZ,200017.SZ,20250829,0.2318
399318.SZ,900904.SH,20250829,0.2128
399318.SZ,200706.SZ,20250829,0.211
399318.SZ,900922.SH,20250829,0.2038
399318.SZ,200011.SZ,20250829,0.202
399318.SZ,200020.SZ,20250829,0.1649
399318.SZ,200025.SZ,20250829,0.1639
399318.SZ,200045.SZ,20250829,0.1533
399318.SZ,200019.SZ,20250829,0.152
399318.SZ,200030.SZ,20250829,0.1364
399318.SZ,200505.SZ,20250829,0.1308
399318.SZ,200056.SZ,20250829,0.0775
