指数代码,成分股票代码,交易日期,权重
399422.SZ,688256.SH,20250829,7.808
399422.SZ,002371.SZ,20250829,3.5338
399422.SZ,000725.SZ,20250829,3.4887
399422.SZ,601816.SH,20250829,3.3877
399422.SZ,600031.SH,20250829,3.123
399422.SZ,601728.SH,20250829,2.823
399422.SZ,601668.SH,20250829,2.5242
399422.SZ,603986.SH,20250829,2.4844
399422.SZ,601985.SH,20250829,1.7664
399422.SZ,688111.SH,20250829,1.7261
399422.SZ,300803.SZ,20250829,1.359
399422.SZ,601390.SH,20250829,1.323
399422.SZ,000938.SZ,20250829,1.2575
399422.SZ,688169.SH,20250829,1.1365
399422.SZ,601186.SH,20250829,0.955
399422.SZ,300418.SZ,20250829,0.8933
399422.SZ,301236.SZ,20250829,0.8783
399422.SZ,300661.SZ,20250829,0.779
399422.SZ,601868.SH,20250829,0.7678
399422.SZ,600588.SH,20250829,0.7605
399422.SZ,600536.SH,20250829,0.7421
399422.SZ,300759.SZ,20250829,0.7118
399422.SZ,601117.SH,20250829,0.7026
399422.SZ,300251.SZ,20250829,0.69
399422.SZ,300496.SZ,20250829,0.6886
399422.SZ,600410.SH,20250829,0.6654
399422.SZ,300896.SZ,20250829,0.664
399422.SZ,002738.SZ,20250829,0.6496
399422.SZ,300002.SZ,20250829,0.6484
399422.SZ,603087.SH,20250829,0.6313
399422.SZ,300058.SZ,20250829,0.6224
399422.SZ,603979.SH,20250829,0.6012
399422.SZ,600085.SH,20250829,0.6011
399422.SZ,300223.SZ,20250829,0.6003
399422.SZ,000786.SZ,20250829,0.5965
399422.SZ,002065.SZ,20250829,0.5927
399422.SZ,600118.SH,20250829,0.5878
399422.SZ,300003.SZ,20250829,0.5797
399422.SZ,300383.SZ,20250829,0.5621
399422.SZ,601800.SH,20250829,0.5615
399422.SZ,301269.SZ,20250829,0.5497
399422.SZ,688047.SH,20250829,0.5473
399422.SZ,002271.SZ,20250829,0.5414
399422.SZ,002405.SZ,20250829,0.5201
399422.SZ,002410.SZ,20250829,0.5195
399422.SZ,600161.SH,20250829,0.5109
399422.SZ,603392.SH,20250829,0.508
399422.SZ,600100.SH,20250829,0.4844
399422.SZ,300073.SZ,20250829,0.4836
399422.SZ,601698.SH,20250829,0.4361
399422.SZ,300364.SZ,20250829,0.4358
399422.SZ,688568.SH,20250829,0.4209
399422.SZ,600435.SH,20250829,0.417
399422.SZ,300296.SZ,20250829,0.3996
399422.SZ,300315.SZ,20250829,0.3853
399422.SZ,000970.SZ,20250829,0.3755
399422.SZ,000729.SZ,20250829,0.3737
399422.SZ,300674.SZ,20250829,0.3734
399422.SZ,300229.SZ,20250829,0.3683
399422.SZ,688200.SH,20250829,0.3671
399422.SZ,002657.SZ,20250829,0.3619
399422.SZ,002385.SZ,20250829,0.3614
399422.SZ,300773.SZ,20250829,0.3598
