指数代码,成分股票代码,交易日期,权重
399296.SZ,300059.SZ,20250829,14.6824
399296.SZ,300750.SZ,20250829,13.5886
399296.SZ,300476.SZ,20250829,10.5794
399296.SZ,300124.SZ,20250829,7.8947
399296.SZ,300033.SZ,20250829,4.2966
399296.SZ,300803.SZ,20250829,3.4705
399296.SZ,300395.SZ,20250829,2.2447
399296.SZ,300274.SZ,20250829,2.2196
399296.SZ,300458.SZ,20250829,1.9615
399296.SZ,302132.SZ,20250829,1.8466
399296.SZ,300014.SZ,20250829,1.5695
399296.SZ,300748.SZ,20250829,1.4949
399296.SZ,300251.SZ,20250829,1.4341
399296.SZ,300866.SZ,20250829,1.4279
399296.SZ,300972.SZ,20250829,1.4189
399296.SZ,300054.SZ,20250829,1.3544
399296.SZ,300548.SZ,20250829,1.3077
399296.SZ,300015.SZ,20250829,1.2895
399296.SZ,300339.SZ,20250829,1.2847
399296.SZ,300558.SZ,20250829,1.2065
399296.SZ,300433.SZ,20250829,1.1896
399296.SZ,300627.SZ,20250829,1.0809
399296.SZ,300432.SZ,20250829,1.061
399296.SZ,300199.SZ,20250829,1.0217
399296.SZ,300373.SZ,20250829,0.9976
399296.SZ,300100.SZ,20250829,0.9681
399296.SZ,300777.SZ,20250829,0.9679
399296.SZ,300065.SZ,20250829,0.967
399296.SZ,300953.SZ,20250829,0.915
399296.SZ,300666.SZ,20250829,0.8691
399296.SZ,300570.SZ,20250829,0.8499
399296.SZ,300454.SZ,20250829,0.7877
399296.SZ,300759.SZ,20250829,0.759
399296.SZ,301269.SZ,20250829,0.7549
399296.SZ,300255.SZ,20250829,0.7548
399296.SZ,300035.SZ,20250829,0.7469
399296.SZ,301236.SZ,20250829,0.7428
399296.SZ,300346.SZ,20250829,0.7036
399296.SZ,301078.SZ,20250829,0.7015
399296.SZ,300077.SZ,20250829,0.6781
399296.SZ,300674.SZ,20250829,0.6689
399296.SZ,300779.SZ,20250829,0.6651
399296.SZ,300047.SZ,20250829,0.6373
399296.SZ,300115.SZ,20250829,0.633
399296.SZ,300017.SZ,20250829,0.6284
399296.SZ,300857.SZ,20250829,0.6233
399296.SZ,300888.SZ,20250829,0.5594
399296.SZ,300999.SZ,20250829,0.5091
399296.SZ,300910.SZ,20250829,0.493
399296.SZ,300765.SZ,20250829,0.4928
