指数代码,成分股票代码,交易日期,权重
399333.SZ,002594.SZ,20250829,7.4861
399333.SZ,002475.SZ,20250829,5.535
399333.SZ,002371.SZ,20250829,3.6537
399333.SZ,002714.SZ,20250829,3.5442
399333.SZ,002415.SZ,20250829,3.0254
399333.SZ,002230.SZ,20250829,2.6619
399333.SZ,002352.SZ,20250829,2.5121
399333.SZ,002142.SZ,20250829,2.4837
399333.SZ,002463.SZ,20250829,2.3832
399333.SZ,002241.SZ,20250829,2.3097
399333.SZ,002027.SZ,20250829,2.1605
399333.SZ,002384.SZ,20250829,2.1538
399333.SZ,002625.SZ,20250829,1.9366
399333.SZ,002050.SZ,20250829,1.7323
399333.SZ,002049.SZ,20250829,1.3694
399333.SZ,002028.SZ,20250829,1.2846
399333.SZ,002916.SZ,20250829,1.2615
399333.SZ,002311.SZ,20250829,1.2352
399333.SZ,002179.SZ,20250829,1.2318
399333.SZ,002466.SZ,20250829,1.1635
399333.SZ,002460.SZ,20250829,1.1502
399333.SZ,002304.SZ,20250829,1.1467
399333.SZ,002600.SZ,20250829,1.1307
399333.SZ,002422.SZ,20250829,1.085
399333.SZ,002517.SZ,20250829,1.0559
399333.SZ,002736.SZ,20250829,1.046
399333.SZ,002074.SZ,20250829,1.0102
399333.SZ,002938.SZ,20250829,1.0031
399333.SZ,002001.SZ,20250829,0.9962
399333.SZ,002558.SZ,20250829,0.9918
399333.SZ,002456.SZ,20250829,0.9918
399333.SZ,002156.SZ,20250829,0.9567
399333.SZ,002236.SZ,20250829,0.9513
399333.SZ,002340.SZ,20250829,0.9258
399333.SZ,002648.SZ,20250829,0.8955
399333.SZ,002920.SZ,20250829,0.8806
399333.SZ,002252.SZ,20250829,0.8679
399333.SZ,002281.SZ,20250829,0.853
399333.SZ,002797.SZ,20250829,0.8227
399333.SZ,002966.SZ,20250829,0.8169
399333.SZ,002185.SZ,20250829,0.783
399333.SZ,002008.SZ,20250829,0.7713
399333.SZ,002202.SZ,20250829,0.7536
399333.SZ,002555.SZ,20250829,0.7395
399333.SZ,002601.SZ,20250829,0.7339
399333.SZ,002353.SZ,20250829,0.7309
399333.SZ,002532.SZ,20250829,0.727
399333.SZ,002493.SZ,20250829,0.704
399333.SZ,002465.SZ,20250829,0.7032
399333.SZ,003816.SZ,20250829,0.6903
399333.SZ,002738.SZ,20250829,0.6716
399333.SZ,002709.SZ,20250829,0.6623
399333.SZ,002085.SZ,20250829,0.6469
399333.SZ,002080.SZ,20250829,0.6459
399333.SZ,002850.SZ,20250829,0.6355
399333.SZ,002129.SZ,20250829,0.6336
399333.SZ,002595.SZ,20250829,0.6264
399333.SZ,002180.SZ,20250829,0.626
399333.SZ,002294.SZ,20250829,0.6239
399333.SZ,002078.SZ,20250829,0.6215
399333.SZ,002459.SZ,20250829,0.5867
399333.SZ,002223.SZ,20250829,0.5714
399333.SZ,002821.SZ,20250829,0.5664
399333.SZ,002673.SZ,20250829,0.5658
399333.SZ,002271.SZ,20250829,0.5598
399333.SZ,002444.SZ,20250829,0.5502
399333.SZ,002157.SZ,20250829,0.5497
399333.SZ,002624.SZ,20250829,0.5407
399333.SZ,002405.SZ,20250829,0.5377
399333.SZ,002410.SZ,20250829,0.5371
399333.SZ,002128.SZ,20250829,0.5251
399333.SZ,002414.SZ,20250829,0.5217
399333.SZ,002812.SZ,20250829,0.4853
399333.SZ,002152.SZ,20250829,0.4747
399333.SZ,002007.SZ,20250829,0.4464
399333.SZ,002409.SZ,20250829,0.4266
399333.SZ,002939.SZ,20250829,0.4152
399333.SZ,002841.SZ,20250829,0.409
399333.SZ,002056.SZ,20250829,0.4056
399333.SZ,002739.SZ,20250829,0.3891
399333.SZ,002025.SZ,20250829,0.3868
399333.SZ,002568.SZ,20250829,0.3758
399333.SZ,002653.SZ,20250829,0.3718
399333.SZ,002064.SZ,20250829,0.3576
399333.SZ,002262.SZ,20250829,0.3436
399333.SZ,002603.SZ,20250829,0.3274
399333.SZ,002423.SZ,20250829,0.3273
399333.SZ,002756.SZ,20250829,0.3197
399333.SZ,002439.SZ,20250829,0.2999
399333.SZ,002244.SZ,20250829,0.2974
399333.SZ,002430.SZ,20250829,0.2968
399333.SZ,002120.SZ,20250829,0.2685
399333.SZ,002831.SZ,20250829,0.2488
399333.SZ,002508.SZ,20250829,0.2408
399333.SZ,002153.SZ,20250829,0.2284
399333.SZ,003022.SZ,20250829,0.1864
399333.SZ,002032.SZ,20250829,0.1837
399333.SZ,002372.SZ,20250829,0.1731
399333.SZ,002608.SZ,20250829,0.1474
399333.SZ,002945.SZ,20250829,0.1217
