指数代码,成分股票代码,交易日期,权重
399263.SZ,300502.SZ,20250829,14.237
399263.SZ,300308.SZ,20250829,13.9346
399263.SZ,300059.SZ,20250829,12.8121
399263.SZ,300124.SZ,20250829,6.7588
399263.SZ,300394.SZ,20250829,3.9005
399263.SZ,300033.SZ,20250829,3.8339
399263.SZ,300408.SZ,20250829,2.5253
399263.SZ,300803.SZ,20250829,2.4806
399263.SZ,300339.SZ,20250829,2.2736
399263.SZ,300418.SZ,20250829,1.6306
399263.SZ,300661.SZ,20250829,1.422
399263.SZ,300454.SZ,20250829,1.4076
399263.SZ,300442.SZ,20250829,1.3019
399263.SZ,300782.SZ,20250829,1.2847
399263.SZ,300458.SZ,20250829,1.2661
399263.SZ,300251.SZ,20250829,1.2594
399263.SZ,300496.SZ,20250829,1.257
399263.SZ,300474.SZ,20250829,1.2228
399263.SZ,300002.SZ,20250829,1.1835
399263.SZ,300604.SZ,20250829,1.1395
399263.SZ,300058.SZ,20250829,1.1362
399263.SZ,300017.SZ,20250829,1.1357
399263.SZ,300223.SZ,20250829,1.0958
399263.SZ,300024.SZ,20250829,1.0859
399263.SZ,300383.SZ,20250829,1.026
399263.SZ,300857.SZ,20250829,1.0192
399263.SZ,300136.SZ,20250829,1.0111
399263.SZ,301269.SZ,20250829,1.0034
399263.SZ,300346.SZ,20250829,0.9635
399263.SZ,300373.SZ,20250829,0.8956
399263.SZ,300627.SZ,20250829,0.8643
399263.SZ,300316.SZ,20250829,0.8429
399263.SZ,300253.SZ,20250829,0.8324
399263.SZ,300628.SZ,20250829,0.8135
399263.SZ,300364.SZ,20250829,0.7956
399263.SZ,300459.SZ,20250829,0.7934
399263.SZ,300666.SZ,20250829,0.7631
399263.SZ,300413.SZ,20250829,0.7337
399263.SZ,300623.SZ,20250829,0.6921
399263.SZ,300672.SZ,20250829,0.6899
399263.SZ,300638.SZ,20250829,0.6687
399263.SZ,300682.SZ,20250829,0.6381
399263.SZ,300182.SZ,20250829,0.6135
399263.SZ,300456.SZ,20250829,0.5542
399263.SZ,301536.SZ,20250829,0.5117
399263.SZ,300212.SZ,20250829,0.5044
399263.SZ,301308.SZ,20250829,0.4266
399263.SZ,301165.SZ,20250829,0.402
399263.SZ,301589.SZ,20250829,0.2666
399263.SZ,301551.SZ,20250829,0.0894
