指数代码,成分股票代码,交易日期,权重
399420.SZ,300059.SZ,20250829,11.3491
399420.SZ,600030.SH,20250829,10.034
399420.SZ,601211.SH,20250829,9.5235
399420.SZ,601318.SH,20250829,9.3905
399420.SZ,601601.SH,20250829,6.9785
399420.SZ,601688.SH,20250829,6.4756
399420.SZ,601628.SH,20250829,3.6794
399420.SZ,000776.SZ,20250829,3.462
399420.SZ,600999.SH,20250829,3.3372
399420.SZ,600958.SH,20250829,3.2069
399420.SZ,601336.SH,20250829,2.7944
399420.SZ,000166.SZ,20250829,2.5062
399420.SZ,601377.SH,20250829,2.4266
399420.SZ,601881.SH,20250829,2.2473
399420.SZ,601162.SH,20250829,2.2219
399420.SZ,601995.SH,20250829,2.2188
399420.SZ,601788.SH,20250829,2.0935
399420.SZ,601901.SH,20250829,1.9697
399420.SZ,601878.SH,20250829,1.7245
399420.SZ,601066.SH,20250829,1.7234
399420.SZ,601108.SH,20250829,1.5864
399420.SZ,601319.SH,20250829,1.5629
399420.SZ,000783.SZ,20250829,1.5072
399420.SZ,002673.SZ,20250829,1.2348
399420.SZ,600061.SH,20250829,1.1216
399420.SZ,002939.SZ,20250829,0.9061
399420.SZ,601059.SH,20250829,0.7922
399420.SZ,601456.SH,20250829,0.722
399420.SZ,601236.SH,20250829,0.6037
399420.SZ,601136.SH,20250829,0.6001
