指数代码,成分股票代码,交易日期,权重
399248.SZ,300251.SZ,20250829,18.3295
399248.SZ,300364.SZ,20250829,11.5787
399248.SZ,002739.SZ,20250829,9.9983
399248.SZ,300144.SZ,20250829,9.2724
399248.SZ,300182.SZ,20250829,8.9294
399248.SZ,300133.SZ,20250829,7.0483
399248.SZ,300027.SZ,20250829,4.2057
399248.SZ,301052.SZ,20250829,3.6647
399248.SZ,001330.SZ,20250829,2.9593
399248.SZ,000719.SZ,20250829,2.7116
399248.SZ,300148.SZ,20250829,2.492
399248.SZ,300291.SZ,20250829,2.2798
399248.SZ,002343.SZ,20250829,1.9673
399248.SZ,300426.SZ,20250829,1.9144
399248.SZ,000892.SZ,20250829,1.8034
399248.SZ,000802.SZ,20250829,1.8009
399248.SZ,300528.SZ,20250829,1.721
399248.SZ,300860.SZ,20250829,1.3705
399248.SZ,300654.SZ,20250829,1.2815
399248.SZ,002858.SZ,20250829,1.1921
399248.SZ,300788.SZ,20250829,1.1485
399248.SZ,301231.SZ,20250829,0.9322
399248.SZ,301025.SZ,20250829,0.7942
399248.SZ,002905.SZ,20250829,0.6044
