指数代码,成分股票代码,交易日期,权重
399637.SZ,001979.SZ,20250829,14.7675
399637.SZ,000002.SZ,20250829,14.3852
399637.SZ,002244.SZ,20250829,11.5722
399637.SZ,000029.SZ,20250829,7.8336
399637.SZ,000560.SZ,20250829,5.2215
399637.SZ,001914.SZ,20250829,5.1476
399637.SZ,000036.SZ,20250829,4.2473
399637.SZ,002146.SZ,20250829,3.9127
399637.SZ,000882.SZ,20250829,3.772
399637.SZ,000718.SZ,20250829,3.4913
399637.SZ,000031.SZ,20250829,3.4902
399637.SZ,000620.SZ,20250829,3.4703
399637.SZ,300917.SZ,20250829,2.9572
399637.SZ,002344.SZ,20250829,2.7792
399637.SZ,000058.SZ,20250829,2.6927
399637.SZ,002314.SZ,20250829,2.4953
399637.SZ,000631.SZ,20250829,2.3881
399637.SZ,002208.SZ,20250829,2.2962
399637.SZ,002016.SZ,20250829,1.6115
399637.SZ,000517.SZ,20250829,1.4685
