指数代码,成分股票代码,交易日期,权重
399550.SZ,600276.SH,20250829,6.7347
399550.SZ,601318.SH,20250829,5.9128
399550.SZ,600887.SH,20250829,5.8876
399550.SZ,600519.SH,20250829,5.8338
399550.SZ,601398.SH,20250829,5.6891
399550.SZ,601166.SH,20250829,5.5471
399550.SZ,600036.SH,20250829,4.927
399550.SZ,002415.SZ,20250829,3.984
399550.SZ,002230.SZ,20250829,3.5053
399550.SZ,300124.SZ,20250829,3.4432
399550.SZ,000333.SZ,20250829,3.4214
399550.SZ,603986.SH,20250829,3.3826
399550.SZ,601601.SH,20250829,3.3557
399550.SZ,600016.SH,20250829,2.4782
399550.SZ,000895.SZ,20250829,2.4136
399550.SZ,601088.SH,20250829,2.4109
399550.SZ,000596.SZ,20250829,2.1892
399550.SZ,002294.SZ,20250829,2.1758
399550.SZ,000423.SZ,20250829,2.0634
399550.SZ,300136.SZ,20250829,1.9973
399550.SZ,601988.SH,20250829,1.8911
399550.SZ,000651.SZ,20250829,1.7498
399550.SZ,600104.SH,20250829,1.6123
399550.SZ,600522.SH,20250829,1.5074
399550.SZ,600563.SH,20250829,1.4775
399550.SZ,601939.SH,20250829,1.4357
399550.SZ,000002.SZ,20250829,1.2322
399550.SZ,002008.SZ,20250829,1.0157
399550.SZ,002120.SZ,20250829,0.9365
399550.SZ,600690.SH,20250829,0.9312
399550.SZ,600660.SH,20250829,0.9132
399550.SZ,600196.SH,20250829,0.8512
399550.SZ,603160.SH,20250829,0.7405
399550.SZ,002410.SZ,20250829,0.7073
399550.SZ,600085.SH,20250829,0.6522
399550.SZ,300003.SZ,20250829,0.5391
399550.SZ,600600.SH,20250829,0.5076
399550.SZ,600585.SH,20250829,0.4943
399550.SZ,000848.SZ,20250829,0.4892
399550.SZ,000049.SZ,20250829,0.4812
399550.SZ,601607.SH,20250829,0.4475
399550.SZ,000538.SZ,20250829,0.4066
399550.SZ,600535.SH,20250829,0.3444
399550.SZ,300070.SZ,20250829,0.3254
399550.SZ,300244.SZ,20250829,0.2288
399550.SZ,300024.SZ,20250829,0.2257
399550.SZ,002038.SZ,20250829,0.1691
399550.SZ,600398.SH,20250829,0.1318
399550.SZ,300183.SZ,20250829,0.1145
399550.SZ,000726.SZ,20250829,0.0886
