指数代码,成分股票代码,交易日期,权重
399423.SZ,688256.SH,20250829,20.2984
399423.SZ,002371.SZ,20250829,9.1868
399423.SZ,000725.SZ,20250829,9.0695
399423.SZ,601728.SH,20250829,7.3389
399423.SZ,603986.SH,20250829,6.4587
399423.SZ,688111.SH,20250829,4.4875
399423.SZ,688169.SH,20250829,2.9545
399423.SZ,300661.SZ,20250829,2.0252
399423.SZ,600588.SH,20250829,1.9772
399423.SZ,600536.SH,20250829,1.9291
399423.SZ,300496.SZ,20250829,1.7902
399423.SZ,300896.SZ,20250829,1.7263
399423.SZ,300002.SZ,20250829,1.6856
399423.SZ,300223.SZ,20250829,1.5606
399423.SZ,000786.SZ,20250829,1.5508
399423.SZ,300003.SZ,20250829,1.5071
399423.SZ,301269.SZ,20250829,1.4291
399423.SZ,688047.SH,20250829,1.4228
399423.SZ,002405.SZ,20250829,1.352
399423.SZ,002410.SZ,20250829,1.3504
399423.SZ,603392.SH,20250829,1.3208
399423.SZ,688568.SH,20250829,1.0941
399423.SZ,300229.SZ,20250829,0.9574
399423.SZ,002151.SZ,20250829,0.9042
399423.SZ,300065.SZ,20250829,0.898
399423.SZ,300045.SZ,20250829,0.8249
399423.SZ,600166.SH,20250829,0.8161
399423.SZ,300353.SZ,20250829,0.7968
399423.SZ,002373.SZ,20250829,0.7572
399423.SZ,688561.SH,20250829,0.7304
399423.SZ,300212.SZ,20250829,0.7184
399423.SZ,688050.SH,20250829,0.697
399423.SZ,600582.SH,20250829,0.6714
399423.SZ,300166.SZ,20250829,0.654
399423.SZ,600271.SH,20250829,0.6085
399423.SZ,688400.SH,20250829,0.5839
399423.SZ,300593.SZ,20250829,0.5696
399423.SZ,601126.SH,20250829,0.5565
399423.SZ,300034.SZ,20250829,0.5363
399423.SZ,300352.SZ,20250829,0.5228
399423.SZ,300079.SZ,20250829,0.52
399423.SZ,688066.SH,20250829,0.4827
399423.SZ,688326.SH,20250829,0.4684
399423.SZ,688563.SH,20250829,0.4502
399423.SZ,688349.SH,20250829,0.3596
399423.SZ,300369.SZ,20250829,0.3334
399423.SZ,603533.SH,20250829,0.331
399423.SZ,300386.SZ,20250829,0.2685
399423.SZ,688339.SH,20250829,0.2551
399423.SZ,300552.SZ,20250829,0.2119
