指数代码,成分股票代码,交易日期,权重
399385.SZ,600519.SH,20250829,14.2389
399385.SZ,000858.SZ,20250829,12.3263
399385.SZ,600887.SH,20250829,8.9431
399385.SZ,002714.SZ,20250829,7.2166
399385.SZ,000568.SZ,20250829,5.3893
399385.SZ,300498.SZ,20250829,5.0774
399385.SZ,600809.SH,20250829,4.3127
399385.SZ,603288.SH,20250829,3.2765
399385.SZ,605499.SH,20250829,2.9376
399385.SZ,002311.SZ,20250829,2.5151
399385.SZ,002304.SZ,20250829,2.3349
399385.SZ,603369.SH,20250829,1.6084
399385.SZ,000895.SZ,20250829,1.4092
399385.SZ,000596.SZ,20250829,1.2782
399385.SZ,601933.SH,20250829,1.1602
399385.SZ,600873.SH,20250829,1.1587
399385.SZ,600600.SH,20250829,1.1491
399385.SZ,600298.SH,20250829,1.1341
399385.SZ,002157.SZ,20250829,1.1193
399385.SZ,000876.SZ,20250829,1.0967
399385.SZ,300765.SZ,20250829,1.0334
399385.SZ,300999.SZ,20250829,0.9934
399385.SZ,600737.SH,20250829,0.9268
399385.SZ,603605.SH,20250829,0.9075
399385.SZ,603345.SH,20250829,0.8889
399385.SZ,600702.SH,20250829,0.8625
399385.SZ,000799.SZ,20250829,0.8322
399385.SZ,000729.SZ,20250829,0.7868
399385.SZ,002568.SZ,20250829,0.7652
399385.SZ,002385.SZ,20250829,0.7609
399385.SZ,600559.SH,20250829,0.6723
399385.SZ,603589.SH,20250829,0.6699
399385.SZ,600872.SH,20250829,0.6416
399385.SZ,300146.SZ,20250829,0.635
399385.SZ,603156.SH,20250829,0.5924
399385.SZ,000998.SZ,20250829,0.5897
399385.SZ,600132.SH,20250829,0.5836
399385.SZ,603198.SH,20250829,0.5509
399385.SZ,002507.SZ,20250829,0.5392
399385.SZ,002299.SZ,20250829,0.5358
399385.SZ,688363.SH,20250829,0.5265
399385.SZ,600598.SH,20250829,0.5162
399385.SZ,600315.SH,20250829,0.4779
399385.SZ,600779.SH,20250829,0.458
399385.SZ,300957.SZ,20250829,0.4558
399385.SZ,301498.SZ,20250829,0.4107
399385.SZ,002597.SZ,20250829,0.4041
399385.SZ,002557.SZ,20250829,0.3522
399385.SZ,603027.SH,20250829,0.3376
399385.SZ,300761.SZ,20250829,0.3192
399385.SZ,600597.SH,20250829,0.3187
399385.SZ,601952.SH,20250829,0.2347
399385.SZ,600299.SH,20250829,0.2175
399385.SZ,002461.SZ,20250829,0.2056
399385.SZ,603317.SH,20250829,0.1939
399385.SZ,605296.SH,20250829,0.1212
