指数代码,成分股票代码,交易日期,权重
399346.SZ,300750.SZ,20250829,14.7628
399346.SZ,300502.SZ,20250829,5.8766
399346.SZ,300308.SZ,20250829,5.7517
399346.SZ,002594.SZ,20250829,5.4552
399346.SZ,002475.SZ,20250829,4.0334
399346.SZ,300124.SZ,20250829,2.7898
399346.SZ,300274.SZ,20250829,2.7386
399346.SZ,002371.SZ,20250829,2.6625
399346.SZ,002714.SZ,20250829,2.5827
399346.SZ,300760.SZ,20250829,2.4988
399346.SZ,000568.SZ,20250829,1.9287
399346.SZ,300498.SZ,20250829,1.8171
399346.SZ,002463.SZ,20250829,1.7367
399346.SZ,300394.SZ,20250829,1.61
399346.SZ,000100.SZ,20250829,1.5812
399346.SZ,002625.SZ,20250829,1.4112
399346.SZ,000792.SZ,20250829,1.3603
399346.SZ,300014.SZ,20250829,1.3531
399346.SZ,002050.SZ,20250829,1.2624
399346.SZ,000625.SZ,20250829,1.0238
399346.SZ,002049.SZ,20250829,0.9979
399346.SZ,002028.SZ,20250829,0.9361
399346.SZ,002311.SZ,20250829,0.9001
399346.SZ,002179.SZ,20250829,0.8976
399346.SZ,002466.SZ,20250829,0.8478
399346.SZ,002460.SZ,20250829,0.8382
399346.SZ,002517.SZ,20250829,0.7695
399346.SZ,300395.SZ,20250829,0.7598
399346.SZ,000807.SZ,20250829,0.7578
399346.SZ,002074.SZ,20250829,0.7362
399346.SZ,002001.SZ,20250829,0.7259
399346.SZ,000408.SZ,20250829,0.7236
399346.SZ,002236.SZ,20250829,0.6932
399346.SZ,002340.SZ,20250829,0.6746
399346.SZ,002648.SZ,20250829,0.6526
399346.SZ,002920.SZ,20250829,0.6417
399346.SZ,002252.SZ,20250829,0.6325
399346.SZ,002273.SZ,20250829,0.6286
399346.SZ,000975.SZ,20250829,0.6274
399346.SZ,300661.SZ,20250829,0.5869
399346.SZ,000661.SZ,20250829,0.5833
399346.SZ,300866.SZ,20250829,0.569
399346.SZ,000933.SZ,20250829,0.5592
399346.SZ,300442.SZ,20250829,0.5374
399346.SZ,300759.SZ,20250829,0.5363
399346.SZ,000426.SZ,20250829,0.5347
399346.SZ,300896.SZ,20250829,0.5003
399346.SZ,002738.SZ,20250829,0.4894
399346.SZ,300724.SZ,20250829,0.4858
399346.SZ,002709.SZ,20250829,0.4826
399346.SZ,300604.SZ,20250829,0.4704
399346.SZ,300115.SZ,20250829,0.4643
399346.SZ,002472.SZ,20250829,0.4632
399346.SZ,002850.SZ,20250829,0.4631
399346.SZ,300748.SZ,20250829,0.4626
399346.SZ,000596.SZ,20250829,0.4574
399346.SZ,002595.SZ,20250829,0.4565
399346.SZ,002294.SZ,20250829,0.4546
399346.SZ,000423.SZ,20250829,0.4312
399346.SZ,002459.SZ,20250829,0.4276
399346.SZ,300037.SZ,20250829,0.4243
399346.SZ,002821.SZ,20250829,0.4127
399346.SZ,300054.SZ,20250829,0.4029
399346.SZ,300832.SZ,20250829,0.3905
399346.SZ,000878.SZ,20250829,0.3836
399346.SZ,000733.SZ,20250829,0.3785
399346.SZ,300373.SZ,20250829,0.3697
399346.SZ,300073.SZ,20250829,0.3644
399346.SZ,000999.SZ,20250829,0.3613
399346.SZ,300316.SZ,20250829,0.3479
399346.SZ,000893.SZ,20250829,0.3464
399346.SZ,300628.SZ,20250829,0.3358
399346.SZ,000983.SZ,20250829,0.3332
399346.SZ,300001.SZ,20250829,0.3293
399346.SZ,000683.SZ,20250829,0.3251
399346.SZ,002409.SZ,20250829,0.3109
399346.SZ,300919.SZ,20250829,0.296
399346.SZ,002056.SZ,20250829,0.2955
399346.SZ,300763.SZ,20250829,0.281
399346.SZ,000830.SZ,20250829,0.2754
399346.SZ,301358.SZ,20250829,0.272
399346.SZ,002318.SZ,20250829,0.2642
399346.SZ,300144.SZ,20250829,0.263
399346.SZ,300487.SZ,20250829,0.2575
399346.SZ,300751.SZ,20250829,0.2562
399346.SZ,002756.SZ,20250829,0.233
399346.SZ,300390.SZ,20250829,0.2187
399346.SZ,300601.SZ,20250829,0.2174
399346.SZ,002984.SZ,20250829,0.213
399346.SZ,000032.SZ,20250829,0.2096
399346.SZ,000921.SZ,20250829,0.1956
399346.SZ,003031.SZ,20250829,0.1839
399346.SZ,301308.SZ,20250829,0.1761
399346.SZ,300957.SZ,20250829,0.1631
399346.SZ,002266.SZ,20250829,0.163
399346.SZ,301498.SZ,20250829,0.147
399346.SZ,301301.SZ,20250829,0.1426
399346.SZ,002032.SZ,20250829,0.1339
399346.SZ,001286.SZ,20250829,0.1251
399346.SZ,002608.SZ,20250829,0.1074
