指数代码,成分股票代码,交易日期,权重
399275.SZ,300760.SZ,20250829,9.0094
399275.SZ,300015.SZ,20250829,8.9254
399275.SZ,300347.SZ,20250829,5.1376
399275.SZ,300255.SZ,20250829,5.092
399275.SZ,300759.SZ,20250829,4.3793
399275.SZ,300896.SZ,20250829,4.0851
399275.SZ,300122.SZ,20250829,3.9067
399275.SZ,300003.SZ,20250829,3.5664
399275.SZ,300832.SZ,20250829,3.1884
399275.SZ,300142.SZ,20250829,3.1327
399275.SZ,300199.SZ,20250829,2.9932
399275.SZ,300558.SZ,20250829,2.766
399275.SZ,300677.SZ,20250829,2.3757
399275.SZ,300049.SZ,20250829,2.2426
399275.SZ,300676.SZ,20250829,2.021
399275.SZ,300009.SZ,20250829,1.9241
399275.SZ,300573.SZ,20250829,1.8369
399275.SZ,300601.SZ,20250829,1.775
399275.SZ,300181.SZ,20250829,1.728
399275.SZ,300723.SZ,20250829,1.6132
399275.SZ,301263.SZ,20250829,1.5462
399275.SZ,300529.SZ,20250829,1.5202
399275.SZ,300595.SZ,20250829,1.4152
399275.SZ,300357.SZ,20250829,1.3158
399275.SZ,300244.SZ,20250829,1.2973
399275.SZ,300026.SZ,20250829,1.2652
399275.SZ,300363.SZ,20250829,1.2525
399275.SZ,301293.SZ,20250829,1.2428
399275.SZ,300294.SZ,20250829,1.2413
399275.SZ,301301.SZ,20250829,1.1645
399275.SZ,300633.SZ,20250829,1.1574
399275.SZ,300725.SZ,20250829,1.0757
399275.SZ,300685.SZ,20250829,1.0554
399275.SZ,300841.SZ,20250829,0.9769
399275.SZ,300298.SZ,20250829,0.9717
399275.SZ,300482.SZ,20250829,0.9603
399275.SZ,300401.SZ,20250829,0.8955
399275.SZ,301080.SZ,20250829,0.8733
399275.SZ,300463.SZ,20250829,0.8043
399275.SZ,300705.SZ,20250829,0.7921
399275.SZ,300267.SZ,20250829,0.6601
399275.SZ,300341.SZ,20250829,0.6556
399275.SZ,300039.SZ,20250829,0.6243
399275.SZ,301363.SZ,20250829,0.5982
399275.SZ,301267.SZ,20250829,0.5557
399275.SZ,300406.SZ,20250829,0.5365
399275.SZ,301367.SZ,20250829,0.5015
399275.SZ,301015.SZ,20250829,0.4825
399275.SZ,301239.SZ,20250829,0.4588
399275.SZ,301207.SZ,20250829,0.4045
