指数代码,成分股票代码,交易日期,权重
399365.SZ,002385.SZ,20250829,10.4067
399365.SZ,000998.SZ,20250829,8.0651
399365.SZ,600598.SH,20250829,7.0598
399365.SZ,300087.SZ,20250829,4.4132
399365.SZ,000408.SZ,20250829,3.6767
399365.SZ,000792.SZ,20250829,3.4277
399365.SZ,601952.SH,20250829,3.2102
399365.SZ,300189.SZ,20250829,3.1753
399365.SZ,600313.SH,20250829,3.1313
399365.SZ,600108.SH,20250829,3.1244
399365.SZ,600096.SH,20250829,3.024
399365.SZ,002311.SZ,20250829,2.7759
399365.SZ,002041.SZ,20250829,2.5352
399365.SZ,000713.SZ,20250829,2.3139
399365.SZ,300511.SZ,20250829,2.2081
399365.SZ,600873.SH,20250829,2.107
399365.SZ,000876.SZ,20250829,1.9942
399365.SZ,603336.SH,20250829,1.9667
399365.SZ,600141.SH,20250829,1.9423
399365.SZ,600354.SH,20250829,1.8568
399365.SZ,300999.SZ,20250829,1.8064
399365.SZ,000893.SZ,20250829,1.7602
399365.SZ,600486.SH,20250829,1.7074
399365.SZ,600737.SH,20250829,1.6853
399365.SZ,603345.SH,20250829,1.6164
399365.SZ,002772.SZ,20250829,1.4791
399365.SZ,002312.SZ,20250829,1.201
399365.SZ,600359.SH,20250829,1.2008
399365.SZ,603077.SH,20250829,1.1203
399365.SZ,000422.SZ,20250829,1.0283
399365.SZ,600371.SH,20250829,1.0271
399365.SZ,600596.SH,20250829,0.9888
399365.SZ,002507.SZ,20250829,0.9804
399365.SZ,002539.SZ,20250829,0.8782
399365.SZ,002895.SZ,20250829,0.848
399365.SZ,000902.SZ,20250829,0.8237
399365.SZ,603360.SH,20250829,0.8137
399365.SZ,600057.SH,20250829,0.7169
399365.SZ,002004.SZ,20250829,0.696
399365.SZ,002100.SZ,20250829,0.641
399365.SZ,603599.SH,20250829,0.6248
399365.SZ,002258.SZ,20250829,0.5973
399365.SZ,002567.SZ,20250829,0.5646
399365.SZ,000061.SZ,20250829,0.5303
399365.SZ,002545.SZ,20250829,0.512
399365.SZ,000930.SZ,20250829,0.5018
399365.SZ,002216.SZ,20250829,0.3507
399365.SZ,603866.SH,20250829,0.3318
399365.SZ,603043.SH,20250829,0.3125
399365.SZ,601038.SH,20250829,0.2408
